,0: 0.0E+00 0.0E+00,1: 0.0E+00 0.0E+00,2: 0.0E+00 0.0E+00,3: 0.0E+00 0.0E+00,4: 0.0E+00 0.0E+00,5: 0.0E+00 0.0E+00
64.4,0.0634806,0.0921363,0.123165,0.164583,0.190966,0.820559
64.6,0.0633879,0.0919581,0.12334,0.163767,0.190697,0.822887
64.8,0.0626752,0.091524,0.124031,0.164428,0.191108,0.824763
65.0,0.0622605,0.0910783,0.123969,0.164293,0.190791,0.825934
65.2,0.0626818,0.0911201,0.124199,0.164476,0.19092,0.82829
65.4,0.0631098,0.0916413,0.124135,0.164634,0.190488,0.830122
65.6,0.0646604,0.0917331,0.123719,0.165636,0.191189,0.831764
65.8,0.0642029,0.092492,0.122875,0.165154,0.19085,0.834258
66.0,0.0640681,0.0930157,0.12228,0.164858,0.192394,0.836123
66.2,0.06442,0.0925431,0.12294,0.163146,0.192149,0.837952
66.4,0.0641759,0.0931911,0.124422,0.163548,0.19261,0.839996
66.6,0.0632974,0.0938848,0.124896,0.164455,0.192233,0.842089
66.8,0.0628083,0.0935988,0.124134,0.165156,0.192885,0.843396
67.0,0.0632864,0.0933745,0.124957,0.165919,0.190937,0.845426
67.2,0.0629323,0.0940028,0.125864,0.16677,0.190804,0.846394
67.4,0.0633156,0.0943206,0.124293,0.1665,0.191253,0.848522
67.6,0.0627717,0.0932155,0.123812,0.164488,0.190191,0.850046
67.8,0.0642842,0.0938358,0.124859,0.164682,0.190829,0.852541
68.0,0.0640397,0.0944606,0.124854,0.163781,0.19195,0.853647
68.2,0.0634259,0.0942632,0.124134,0.163164,0.192525,0.856529
68.4,0.0630464,0.0934638,0.124898,0.162957,0.191648,0.859112
68.6,0.0637784,0.0932228,0.125426,0.163354,0.193269,0.861835
68.8,0.0625787,0.0924153,0.125863,0.163189,0.192362,0.863311
69.0,0.0616115,0.0922767,0.125052,0.164224,0.192657,0.866053
69.2,0.061459,0.0928033,0.125107,0.165371,0.193499,0.868512
69.4,0.062253,0.0922172,0.125031,0.165803,0.193813,0.869199
69.6,0.0613115,0.0933097,0.124664,0.165952,0.193177,0.869793
69.8,0.0629092,0.0935152,0.123909,0.166527,0.193185,0.871632
70.0,0.0636823,0.0929874,0.123976,0.166186,0.193202,0.873132
70.2,0.064707,0.092672,0.124151,0.165331,0.192068,0.8746
70.4,0.0635989,0.093208,0.12428,0.165185,0.192893,0.877157
